timestamp_utc,total_heat_MW,BB1_MW,EB1_MW,EB2_MW,EB3_MW
2035-05-20T08:00:00Z,61.227501270036804,0.0,19.6,29.4,12.227501270036806
2035-05-20T09:00:00Z,63.294421213319644,0.0,19.6,29.4,14.294421213319646
2035-05-20T10:00:00Z,62.466470140910126,0.0,19.6,29.4,13.466470140910127
2035-05-20T11:00:00Z,63.84589916191411,0.0,19.6,29.4,14.845899161914113
2035-05-20T12:00:00Z,63.3106603948358,0.0,19.6,29.4,14.310660394835802
2035-05-20T13:00:00Z,62.831622092185505,0.0,19.6,29.4,13.831622092185507
2035-05-20T14:00:00Z,62.329149197013415,0.0,19.6,29.4,13.329149197013416
2035-05-20T15:00:00Z,62.1492994351053,0.0,19.6,29.4,13.1492994351053
2035-05-20T16:00:00Z,62.90009262587251,0.0,19.6,29.4,13.900092625872512
2035-05-20T17:00:00Z,62.40950899464507,0.0,19.6,29.4,13.409508994645075
2035-05-20T18:00:00Z,62.02491888070775,0.0,19.6,29.4,13.024918880707753
2035-05-20T19:00:00Z,61.98934480112411,0.0,19.6,29.4,12.989344801124114
2035-05-20T20:00:00Z,61.83965655706809,0.0,19.6,29.4,12.839656557068091
2035-05-20T21:00:00Z,60.289347494551315,0.0,19.6,29.4,11.289347494551317
2035-05-20T22:00:00Z,60.912589124833254,0.0,19.6,29.4,11.912589124833255
2035-05-20T23:00:00Z,59.81853794489307,0.0,19.6,29.4,10.818537944893075
2035-05-21T00:00:00Z,59.55371847651997,0.0,19.6,29.4,10.55371847651997
2035-05-21T01:00:00Z,59.254680033532814,0.0,19.6,29.4,10.254680033532816
2035-05-21T02:00:00Z,59.19501471430306,0.0,19.6,29.4,10.195014714303065
2035-05-21T03:00:00Z,59.72237094876031,0.0,19.6,29.4,10.72237094876031
2035-05-21T04:00:00Z,60.36988740433521,0.0,19.6,29.4,11.369887404335211
2035-05-21T05:00:00Z,62.16722275364001,0.0,19.6,29.4,13.167222753640013
2035-05-21T06:00:00Z,60.47349018700367,0.0,19.6,29.4,11.473490187003671
2035-05-21T07:00:00Z,61.43823684844012,0.0,19.6,29.4,12.438236848440122
2035-05-21T08:00:00Z,62.13345983446906,0.0,19.6,29.4,13.13345983446906
2035-05-21T09:00:00Z,62.54444339715004,0.0,19.6,29.4,13.544443397150042
2035-05-21T10:00:00Z,62.7084368840466,0.0,19.6,29.4,13.7084368840466
2035-05-21T11:00:00Z,62.3305512210162,0.0,19.6,29.4,13.330551221016202
2035-05-21T12:00:00Z,63.88739370035443,0.0,19.6,29.4,14.887393700354432
2035-05-21T13:00:00Z,64.096996298308,0.0,19.6,29.4,15.096996298307994
2035-05-21T14:00:00Z,61.76854048638594,0.0,19.6,29.4,12.76854048638594
2035-05-21T15:00:00Z,61.8714053127299,0.0,19.6,29.4,12.8714053127299
2035-05-21T16:00:00Z,62.60704008751514,0.0,19.6,29.4,13.60704008751514
2035-05-21T17:00:00Z,61.923045833562504,0.0,19.6,29.4,12.923045833562506
2035-05-21T18:00:00Z,62.785858620834155,0.0,19.6,29.4,13.785858620834157
2035-05-21T19:00:00Z,61.78279795108592,0.0,19.6,29.4,12.78279795108592
2035-05-21T20:00:00Z,63.1633174514102,0.0,19.6,29.4,14.163317451410203
2035-05-21T21:00:00Z,62.31179505037462,0.0,19.6,29.4,13.311795050374622
2035-05-21T22:00:00Z,60.89123247941965,0.0,19.6,29.4,11.891232479419651
2035-05-21T23:00:00Z,61.06330383708464,0.0,19.6,29.4,12.063303837084641
2035-05-22T00:00:00Z,60.43922055369094,0.0,19.6,29.4,11.439220553690939
2035-05-22T01:00:00Z,59.51040146785393,0.0,19.6,29.4,10.510401467853933
2035-05-22T02:00:00Z,59.370081524427114,0.0,19.6,29.4,10.370081524427116
2035-05-22T03:00:00Z,60.15156378533488,0.0,19.6,29.4,11.151563785334881
2035-05-22T04:00:00Z,60.87582534650088,0.0,19.6,29.4,11.875825346500884
2035-05-22T05:00:00Z,60.75399135527268,0.0,19.6,29.4,11.753991355272683
2035-05-22T06:00:00Z,59.505544118308556,0.0,19.6,29.4,10.505544118308558
2035-05-22T07:00:00Z,60.497950141378716,0.0,19.6,29.4,11.497950141378718
2035-05-22T08:00:00Z,61.47308126219361,0.0,19.6,29.4,12.473081262193611
2035-05-22T09:00:00Z,62.03359147246692,0.0,19.6,29.4,13.033591472466918
2035-05-22T10:00:00Z,63.50840637906301,0.0,19.6,29.4,14.508406379063013
2035-05-22T11:00:00Z,61.829343358640266,0.0,19.6,29.4,12.829343358640267
2035-05-22T12:00:00Z,62.934746611319376,0.0,19.6,29.4,13.934746611319378
2035-05-22T13:00:00Z,63.509500044681396,0.0,19.6,29.4,14.509500044681397
2035-05-22T14:00:00Z,63.68225121136475,0.0,19.6,29.4,14.682251211364752
2035-05-22T15:00:00Z,61.84333374753003,0.0,19.6,29.4,12.843333747530034
2035-05-22T16:00:00Z,62.6641013945404,0.0,19.6,29.4,13.664101394540404
2035-05-22T17:00:00Z,62.42426442092265,0.0,19.6,29.4,13.424264420922649
2035-05-22T18:00:00Z,62.21326908061946,0.0,19.6,29.4,13.213269080619463
2035-05-22T19:00:00Z,61.759346624689066,0.0,19.6,29.4,12.759346624689067
2035-05-22T20:00:00Z,61.77675599557667,0.0,19.6,29.4,12.776755995576673
2035-05-22T21:00:00Z,59.79859728175564,0.0,19.6,29.4,10.798597281755642
2035-05-22T22:00:00Z,60.774925855654466,0.0,19.6,29.4,11.774925855654468
2035-05-22T23:00:00Z,60.178418511140116,0.0,19.6,29.4,11.178418511140118
2035-05-23T00:00:00Z,59.334574741641454,0.0,19.6,29.4,10.334574741641456
2035-05-23T01:00:00Z,60.58852861959428,0.0,19.6,29.4,11.58852861959428
2035-05-23T02:00:00Z,59.08456213992704,0.0,19.6,29.4,10.084562139927039
2035-05-23T03:00:00Z,59.515565119473585,0.0,19.6,29.4,10.515565119473587
2035-05-23T04:00:00Z,61.13303687805719,0.0,19.6,29.4,12.133036878057192
2035-05-23T05:00:00Z,59.836463168945464,0.0,19.6,29.4,10.836463168945466
2035-05-23T06:00:00Z,59.71427146987195,0.0,19.6,29.4,10.714271469871955
2035-05-23T07:00:00Z,60.496658844456725,0.0,19.6,29.4,11.496658844456727
2035-05-23T08:00:00Z,61.61643781811534,0.0,19.6,29.4,12.616437818115338
2035-05-23T09:00:00Z,61.81542993292364,0.0,19.6,29.4,12.815429932923644
2035-05-23T10:00:00Z,61.23103749962963,0.0,19.6,29.4,12.23103749962963
2035-05-23T11:00:00Z,61.94521651014917,0.0,19.6,29.4,12.945216510149175
2035-05-23T12:00:00Z,61.901568822651306,0.0,19.6,29.4,12.901568822651308
2035-05-23T13:00:00Z,62.20932740049269,0.0,19.6,29.4,13.209327400492691
2035-05-23T14:00:00Z,62.22391327623375,0.0,19.6,29.4,13.223913276233754
2035-05-23T15:00:00Z,61.93640095098319,0.0,19.6,29.4,12.936400950983193
